FILENAME,ModalName,Name_Agreement_Total,Name_Agreement_Responders,DKO,DKN,Category,Familiarity_Mean,Visual_Complexity_Mean,Objective_Agreement_Mean,Viewpoint_Mean,Manipulability_Mean,H-value
50dollarbill,50$ bill,0.368421053,0.368421053,0,0,Jewel & money,4.461538462,2.948717949,4.28125,4.181818182,1.696969697,2.79117181
8ball,8 ball,0.476190476,0.487804878,0,0,Gamestoy & entertainment,4.5,1.595238095,,,3.058823529,2.194145009
accordion01,Accordion,0.761904762,0.96969697,0,0.05,Musical instrument,4.261904762,3.333333333,4.03125,3.84375,4.117647059,0.195909271
aceofdiamond,Ace of Diamond,0.261904762,0.261904762,0,0,Gamestoy & entertainment,4.761904762,1.333333333,,,3.029411765,2.649102964
acorn,Acorn,0.731707317,0.789473684,0,0.05,Natural element,4.292682927,2.292682927,3.9375,3.78125,1.382352941,1.068549662
acousticguitar02,guitar,0.714285714,0.714285714,0,0,Musical instrument,4.523809524,2.452380952,3.9375,3.6875,4.705882353,1.096460308
addressplate,Address,0.166666667,0.184210526,0,0.05,Building infrastructure,4.404761905,1.666666667,,,1.823529412,3.523564686
adjustablewrench01b,wrench,0.641025641,0.78125,0,0.18,Hand labour tool & accessory,3.769230769,2.358974359,4.5,3.875,2.90625,1.223397117
africanelephant,elephant,0.952380952,0.952380952,0,0,Mammal,4.476190476,2.952380952,4.34375,3.6875,2.676470588,0.276195428
aircompressor,Air compressor,0.142857143,0.352941176,0.29,0.26,Hand labour tool & accessory,2.5,3.414634146,,,1.586206897,2.822181959
airconditioner,air conditioner,0.487804878,0.526315789,0.02,0,Electronic device & accessory,4.5,2.853658537,,,2.393939394,2.446912727
airhockeytable,air hockey table,0.738095238,0.794871795,0,0.02,Gamestoy & entertainment,4.404761905,2.476190476,4.1875,3.34375,3.382352941,1.244887203
airvent,Vent,0.452380952,0.5,0,0.02,Building infrastructure,4.285714286,1.928571429,,,1.676470588,2.43975323
alarmclock01,alarm clock,0.41025641,0.444444444,0.05,0.03,Electronic device & accessory,4.378378378,3.078947368,3.121212121,3.727272727,2.090909091,2.316340114
alarmsystem,alarm system,0.166666667,0.205882353,0.07,0.07,Electronic device & accessory,4.142857143,2.785714286,,,2.676470588,3.578551991
alligator,Crocodile,0.547619048,0.547619048,0,0,Reptile,4.023809524,3.095238095,4.3125,3.5,1.941176471,0.993447238
almond,almonds,0.717948718,0.717948718,0,0,Food,4.333333333,2.128205128,4.454545455,4.575757576,1.333333333,1.278801648
aloe01,Plant,0.476190476,0.5,0,0.05,Natural element,4.095238095,2.380952381,,,1.794117647,2.454347485
aluminiumfoil,Aluminum foil,0.452380952,0.463414634,0,0.02,Kitchen & utensil,4.785714286,1.880952381,,,2.647058824,2.218898561
americangoldfinch,bird,0.714285714,0.789473684,0.02,0.07,Bird,3.761904762,2.952380952,3.3125,3.6875,2.088235294,1.163540201
americanwhitepelican,pelican,0.547619048,0.58974359,0,0.05,Bird,3.80952381,3.30952381,3.611111111,3.888888889,1.558823529,1.588456309
amphora,Vase,0.219512195,0.290322581,0.07,0.17,Decoration & gift accessory,3.365853659,2.5,,,1.5,3.59809631
anchor,Anchor,0.880952381,0.925,0.02,0.02,Outdoor activity & sport item,4.195121951,1.853658537,3.8125,2.71875,2.323529412,0.453183732
angelstatue,Angel statue,0.404761905,0.414634146,0,0.02,Decoration & gift accessory,3.571428571,2.976190476,,,1.617647059,2.157497734
ant,Ant,0.857142857,0.857142857,0,0,Insect,4.619047619,2.666666667,3.90625,3.46875,1.647058824,0.818095993
antelope,antelope,0.285714286,0.324324324,0,0.12,Mammal,3.666666667,2.952380952,,,1.470588235,2.298897029
antenna,antenna,0.58974359,0.741935484,0.1,0.05,Electronic device & accessory,3.243243243,3.052631579,3,3.636363636,1.939393939,1.339940666
antlers,Antlers,0.714285714,0.731707317,0,0.02,Decoration & gift accessory,4.023809524,2.452380952,4.34375,4.15625,1.970588235,1.486418032
apple07,apple,0.948717949,0.948717949,0,0,Food,4.564102564,1.789473684,4.242424242,4.424242424,2.4375,0.343100308
apricot,peach,0.605263158,0.621621622,0,0.03,Food,4.394736842,1.973684211,4.363636364,3.606060606,1.454545455,1.445636989
apron,apron,0.952380952,0.952380952,0,0,Clothing,4.571428571,1.928571429,3.25,4,3.235294118,0.323814475
aquarium,aquarium,0.571428571,0.571428571,0,0,Decoration & gift accessory,4.285714286,2.857142857,2.8125,4.03125,1.970588235,1.455601496
arm,arm,0.714285714,0.714285714,0,0,Bodypart,4.928571429,1.976190476,4.21875,3.90625,3.470588235,1.470496164
armadillo,Armadillo,0.69047619,0.878787879,0.05,0.07,Mammal,3.951219512,3.414634146,3.84375,3.6875,1.333333333,0.714653245
armchair02,chair,0.547619048,0.56097561,0,0.02,Furniture,4.619047619,2.30952381,2.055555556,3.722222222,3.264705882,2.145517628
arrow02,arrow,0.904761905,0.926829268,0,0.02,War related weapon & item,4.238095238,1.707317073,4.0625,3.935483871,3.529411765,0.377646321
artichoke01b,Artichoke,0.380952381,0.64,0,0.24,Food,3.975609756,2.756097561,,,1.666666667,1.60385619
arugula,spinach,0.205128205,0.258064516,0.05,0.13,Food,3.361111111,2.675675676,3.545454545,3.454545455,1.363636364,3.63952252
ashtray01,ashtray,0.871794872,0.918918919,0,0.05,Household article & cleaner,3.918918919,2.631578947,4.121212121,4.454545455,3.242424242,0.534487512
asianelephant,elephant,0.928571429,0.928571429,0,0,Mammal,4.619047619,3.30952381,4.21875,4,2.529411765,0.436824886
asparagus,asparagus,0.641025641,0.806451613,0.08,0.08,Food,4.026315789,2.342105263,4.121212121,3.363636364,1.484848485,1.055767528
athleticsock,sock,0.80952381,0.80952381,0,0,Clothing,4.642857143,1.595238095,3.6875,3.25,3.823529412,1.160683516
atm,Atm,0.476190476,0.476190476,0,0,Electronic device & accessory,4.714285714,2.738095238,,,3.735294118,1.584569085
audiocablesplitter,Cable,0.071428571,0.09375,0.07,0.12,Electronic device & accessory,3.952380952,1.780487805,,,1.852941176,4.452819531
avcable,cables,0.256410256,0.277777778,0.03,0.05,Electronic device & accessory,3.820512821,2.435897436,3.4375,3.4375,1.741935484,3.590181518
avocado01,avocado,0.871794872,0.894736842,0,0.03,Food,4.307692308,2.538461538,4.454545455,3.606060606,1.454545455,0.570858458
awning,Awning,0.30952381,0.590909091,0,0.33,Building infrastructure,4.146341463,1.902439024,,,1.852941176,1.909171785
axe01,axe,0.666666667,0.764705882,0.03,0.08,Hand labour tool & accessory,3.717948718,2.384615385,4.151515152,3.606060606,3.96969697,1.43418541
backfloat,Floatation device for child,0.048780488,0.111111111,0.44,0.1,Outdoor activity & sport item,2.72972973,2.394736842,,,2.275862069,3.947702779
backpack01a,backpack,0.769230769,0.769230769,0,0,Outdoor activity & sport item,4.666666667,3.384615385,4.09375,3.34375,3.28125,1.337668748
bacon,Bacon,0.714285714,0.769230769,0,0.05,Food,4.404761905,2.047619048,3.78125,4.03125,2,1.006986775
badger,Badger,0.357142857,0.535714286,0.02,0.24,Mammal,3.219512195,3.365853659,,,1.529411765,2.374742996
badmintonracket,Badminton Racket,0.761904762,0.761904762,0,0,Outdoor activity & sport item,4.333333333,2.047619048,4.3125,4,3.941176471,1.115897411
bag,bag,0.358974359,0.368421053,0,0.03,Stationary & school supply,3.756756757,2.972972973,3.40625,3.032258065,2.225806452,3.059051937
bagel01,bagel,0.846153846,0.868421053,0,0,Food,4.487179487,2.615384615,4.818181818,4.606060606,1.878787879,0.561752608
bagofpowder,bag,0.105263158,0.148148148,0.18,0.11,Food,3.193548387,2.419354839,,,1.5,3.782122224
bagtie,bag tie,0.081081081,0.1875,0.08,0.49,Kitchen & utensil,3.888888889,1.75,,,2.294117647,3.452819531
baguette01,bread,0.487179487,0.5,0,0.03,Food,4.461538462,2.435897436,3.151515152,3.636363636,1.909090909,1.581770101
balalaika,Guitar,0.166666667,0.304347826,0.1,0.33,Musical instrument,2.926829268,2.536585366,,,2.970588235,2.87069185
balcony02,Balcony,0.642857143,0.710526316,0.05,0.02,Building infrastructure,4.195121951,2.390243902,3.15625,3.580645161,1.794117647,1.744326196
ball02,ball,0.769230769,0.882352941,0.08,0.05,Gamestoy & entertainment,3.388888889,1.648648649,3.46875,4.0625,3.5,0.61800386
ballofstring,string,0.238095238,0.3125,0.05,0.1,Household article & cleaner,3.952380952,2.024390244,,,2.181818182,3.203626767
balloon01b,balloon,0.871794872,0.871794872,0,0,Decoration & gift accessory,4.435897436,1.897435897,4.0625,3.1875,3.290322581,0.850178203
banana01,banana,1,1,0,0,Food,4.710526316,2,4.75,3.848484848,3.393939394,0
bandage,bandage,0.282051282,0.423076923,0.08,0.15,Medical instrument & accessory,3.837837838,2.432432432,3.575757576,3.666666667,2.454545455,2.823184514
bandaid01,band-aid,0.631578947,0.75,0.08,0.08,Medical instrument & accessory,3.891891892,1.861111111,4,3.636363636,3.212121212,1.35018789
banjo,banjo,0.833333333,0.945945946,0,0.07,Musical instrument,4.071428571,2.785714286,4.09375,3.03125,3.617647059,0.35742889
barbecue03,Barbecue,0.357142857,0.357142857,0,0,Outdoor activity & sport item,4.80952381,3.024390244,,,3.382352941,2.337109905
barbecuelighter,lighter,0.452380952,0.542857143,0.02,0.07,Household article & cleaner,4.214285714,2.238095238,,,2.970588235,2.40169701
barbedwire01,barbed wire,0.619047619,0.684210526,0,0.07,Building infrastructure,4.047619048,2.547619048,3.84375,3.96875,2.058823529,1.498556588
barn,Barn,0.69047619,0.707317073,0,0,Building infrastructure,4,2.547619048,3.53125,3.75,1.470588235,1.677516667
barnowl,owl,0.952380952,0.975609756,0,0,Bird,4.428571429,3.333333333,4.0625,3.9375,1.911764706,0.165427034
barrel01,barrel,0.857142857,0.857142857,0,0,Furniture,4.142857143,2.071428571,4.125,4.09375,1.764705882,0.865715041
baseball01a,baseball,0.871794872,0.871794872,0,0,Outdoor activity & sport item,3.820512821,2.435897436,4.727272727,4.818181818,3.484848485,0.798896152
baseballbat,baseball bat,0.80952381,0.80952381,0,0,Outdoor activity & sport item,4.761904762,1.69047619,3.40625,3.59375,4.382352941,0.892942742
baseballglove,baseball glove,0.619047619,0.619047619,0,0,Outdoor activity & sport item,4.333333333,2.404761905,3.3125,3.733333333,3.911764706,1.481241697
baseboard,molding,0.119047619,0.2,0.12,0.14,Building material,3.833333333,1.857142857,,,1.482758621,3.395084952
baseboardheater01,heater,0.333333333,0.424242424,0.17,0,Building infrastructure,3.7,2.390243902,,,1.724137931,3.186728395
basketball01,Basketball,0.952380952,0.952380952,0,0,Outdoor activity & sport item,4.785714286,1.833333333,4.451612903,4.322580645,4.264705882,0.323814475
basketballhoop01,Basketball hoop,0.380952381,0.380952381,0,0,Outdoor activity & sport item,4.595238095,2.333333333,,,3.941176471,2.231486768
bassethound,dog,0.595238095,0.595238095,0,0,Canine,4.261904762,2.952380952,3.03125,3.5,2.558823529,2.151926834
bassguitar,guitar,0.452380952,0.452380952,0,0,Musical instrument,4.214285714,2.857142857,,,4.294117647,1.899207357
bastingbrush,brush,0.282051282,0.366666667,0.08,0.13,Kitchen & utensil,3.432432432,2.027027027,2.606060606,2.787878788,3.03030303,3.413269419
bat,bat,0.952380952,0.952380952,0,0,Mammal,4.166666667,3.214285714,3.625,2.9375,1.852941176,0.276195428
bathtub,bathtub,0.833333333,0.833333333,0,0,Skincare & bathroom item,4.785714286,2.261904762,3.53125,3.625,3.323529412,0.79387585
battery02b,battery,0.947368421,0.947368421,0,0,Electronic device & accessory,4.578947368,2.184210526,3.727272727,3.484848485,1.606060606,0.350103828
battleaxe,axe,0.571428571,0.631578947,0.02,0.05,War related weapon & item,3.833333333,2.261904762,2.566666667,3.833333333,3.090909091,2.227033105
battleship,Battleship,0.357142857,0.375,0.02,0,Vehicle,3.619047619,3.833333333,,,1.588235294,3.069099746
bazooka,Bazooka,0.19047619,0.347826087,0.38,0.05,War related weapon & item,2.763157895,2.45,,,2.259259259,3.132257608
beachpaddle01a,Ping pong paddle,0.261904762,0.305555556,0,0.1,Gamestoy & entertainment,4,1.69047619,,,2.941176471,2.810269424
beachumbrella01,umbrella,0.547619048,0.575,0,0,Outdoor activity & sport item,4.404761905,1.714285714,2.333333333,2.833333333,3.411764706,1.992894583
beaver,beaver,0.928571429,1,0,0.07,Mammal,4.166666667,3.214285714,3.9375,3.0625,1.727272727,0
bed,bed,0.80952381,0.80952381,0,0,Furniture,4.804878049,1.975609756,3.625,3.625,3.735294118,0.997475111
beehive,beehive,0.571428571,0.631578947,0.07,0.02,Natural element,3.976190476,3.56097561,2.875,3.21875,1.78125,1.548758434
beerbottle,beer bottle,0.880952381,0.880952381,0,0,Food,4.642857143,1.547619048,4.28125,4.15625,3.411764706,0.612560886
beermug01a,beer mug,0.256410256,0.256410256,0,0,Kitchen & utensil,4.307692308,2.666666667,4.545454545,4.575757576,3.46875,3.089872657
belltower01,Church tower,0.166666667,0.212121212,0.07,0.12,Building infrastructure,3.714285714,3.119047619,,,1.878787879,3.345671198
belt02a,belt,0.948717949,0.948717949,0,0,Clothing,4.384615385,2.025641026,4.3125,4.290322581,3.84375,0.343100308
belugawhale,beluga whale,0.476190476,0.512820513,0,0.02,Sea mammal,4.023809524,2.666666667,,,1.411764706,2.219813055
bench01,bench,0.738095238,0.756097561,0,0.02,Furniture,4.333333333,1.714285714,2.90625,3.387096774,2.705882353,1.367793819
beret01,Beret,0.357142857,0.535714286,0.29,0,Clothing,3.605263158,1.7,,,1.814814815,2.160457281
