Var1,Var2,value,Var3
garlic,onion,0.992559803,sand
cello,violin,0.991612352,onion
cabbage,lettuce,0.983079552,violin
spinach,cucumber,0.975708235,spoon
ginger,lemon,0.966604671,saxophone
fridge,toaster,0.954832399,lemon
carrot,celery,0.947488448,toaster
blender,spoon,0.933276503,celery
trumpet,saxophone,0.931193606,lettuce
guitar,harmonica,0.927233699,cucumber
broccoli,cantaloupe,0.925988911,harmonica
bacon,cheese,0.924356422,ladle
accordion,banjo,0.920450669,cheese
cauliflower,tomato,0.905606806,banjo
pelican,flamingo,0.905507734,tomato
grater,ladle,0.904034918,tortilla
banana,pineapple,0.895805127,flamingo
macaroni,tortilla,0.894321479,boat
cherries,melon,0.893490119,spear
coconut,mango,0.892935826,xylophone
paddle,boat,0.891492042,mango
sword,spear,0.889729697,cantaloupe
cymbals,drum,0.889320824,pineapple
bagel,fries,0.887821796,drum
elephant,giraffe,0.881719254,fries
blueberry,pear,0.87985533,giraffe
asparagus,plum,0.872900723,squid
crab,squid,0.866067395,plum
screw,clamp,0.864018003,pear
croissant,toast,0.854583627,shark
leek,mushroom,0.846712178,toast
bread,potato,0.84468753,clamp
duck,pigeon,0.843340957,potato
piano,xylophone,0.84306402,mushroom
dolphin,shark,0.842719461,melon
sushi,pizza,0.840077243,pigeon
clipboard,folder,0.831478443,pizza
crocodile,snake,0.827475717,folder
cheetah,zebra,0.824983541,spaghetti
pumpkin,spaghetti,0.824777914,zebra
shoe,jeans,0.824156279,tripod
camera,tripod,0.815485551,jeans
fireplace,freezer,0.815356928,snake
kettle,towel,0.808364624,toothbrush
deodorant,toothbrush,0.806058145,towel
knife,tongs,0.801750982,freezer
ashtray,cigar,0.790656409,battery
brick,tile,0.789739984,cigar
wrench,screwdriver,0.788329556,moose
motorcycle,scooter,0.785026917,sponge
bandage,elbow,0.777792001,scooter
brush,spatula,0.772796797,elbow
bubbles,sponge,0.769325563,spatula
truck,tire,0.768309941,raccoon
rice,wheat,0.766961489,tire
beaver,moose,0.765250843,wheat
helmet,goggles,0.756493856,lion
earrings,scarf,0.751622157,goggles
brooch,necklace,0.742486554,tongs
bottle,champagne,0.741851491,tile
fountain,statue,0.73810603,moon
cables,battery,0.735053163,statue
mixer,sink,0.729673105,scarf
wolf,raccoon,0.720048178,sink
armadillo,gorilla,0.716310639,screwdriver
bull,lion,0.71425749,pencil
eraser,pencil,0.70942845,necklace
rake,bucket,0.702914224,gorilla
candle,lamp,0.700732168,bucket
chainsaw,hammer,0.689715174,lamp
drill,plunger,0.685561676,lizard
scissors,tupperware,0.677564609,pistachio
cloud,moon,0.675443359,tupperware
spider,lizard,0.673476674,champagne
lime,radish,0.666463407,hammer
peach,avocado,0.663403238,radish
binoculars,telescope,0.653861831,avocado
rabbit,skunk,0.639625407,telescope
grapes,pistachio,0.628782128,plunger
chalk,sand,0.625349609,skunk
